UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Feb23 ?        00:00:01 /sbin/init splash
root         2     0  0 Feb23 ?        00:00:00 [kthreadd]
root         3     2  0 Feb23 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 Feb23 ?        00:00:00 [kworker/0:0H]
root         7     2  0 Feb23 ?        00:00:03 [rcu_sched]
root         8     2  0 Feb23 ?        00:00:00 [rcu_bh]
root         9     2  0 Feb23 ?        00:00:00 [migration/0]
root        10     2  0 Feb23 ?        00:00:00 [lru-add-drain]
root        11     2  0 Feb23 ?        00:00:00 [watchdog/0]
root        12     2  0 Feb23 ?        00:00:00 [cpuhp/0]
root        13     2  0 Feb23 ?        00:00:00 [cpuhp/1]
root        14     2  0 Feb23 ?        00:00:00 [watchdog/1]
root        15     2  0 Feb23 ?        00:00:00 [migration/1]
root        16     2  0 Feb23 ?        00:00:00 [ksoftirqd/1]
root        18     2  0 Feb23 ?        00:00:00 [kworker/1:0H]
root        19     2  0 Feb23 ?        00:00:00 [cpuhp/2]
root        20     2  0 Feb23 ?        00:00:00 [watchdog/2]
root        21     2  0 Feb23 ?        00:00:00 [migration/2]
root        22     2  0 Feb23 ?        00:00:00 [ksoftirqd/2]
root        24     2  0 Feb23 ?        00:00:00 [kworker/2:0H]
root        25     2  0 Feb23 ?        00:00:00 [cpuhp/3]
root        26     2  0 Feb23 ?        00:00:00 [watchdog/3]
root        27     2  0 Feb23 ?        00:00:00 [migration/3]
root        28     2  0 Feb23 ?        00:00:00 [ksoftirqd/3]
root        30     2  0 Feb23 ?        00:00:00 [kworker/3:0H]
root        31     2  0 Feb23 ?        00:00:00 [kdevtmpfs]
root        32     2  0 Feb23 ?        00:00:00 [netns]
root        33     2  0 Feb23 ?        00:00:00 [khungtaskd]
root        34     2  0 Feb23 ?        00:00:00 [oom_reaper]
root        35     2  0 Feb23 ?        00:00:00 [writeback]
root        36     2  0 Feb23 ?        00:00:00 [kcompactd0]
root        37     2  0 Feb23 ?        00:00:00 [ksmd]
root        38     2  0 Feb23 ?        00:00:00 [khugepaged]
root        39     2  0 Feb23 ?        00:00:00 [crypto]
root        40     2  0 Feb23 ?        00:00:00 [kintegrityd]
root        41     2  0 Feb23 ?        00:00:00 [bioset]
root        42     2  0 Feb23 ?        00:00:00 [kblockd]
root        43     2  0 Feb23 ?        00:00:00 [ata_sff]
root        44     2  0 Feb23 ?        00:00:00 [md]
root        45     2  0 Feb23 ?        00:00:00 [devfreq_wq]
root        46     2  0 Feb23 ?        00:00:00 [watchdogd]
root        51     2  0 Feb23 ?        00:00:00 [kswapd0]
root        52     2  0 Feb23 ?        00:00:00 [vmstat]
root        53     2  0 Feb23 ?        00:00:00 [ecryptfs-kthrea]
root        92     2  0 Feb23 ?        00:00:00 [kthrotld]
root        93     2  0 Feb23 ?        00:00:00 [acpi_thermal_pm]
root        96     2  0 Feb23 ?        00:00:00 [bioset]
root        97     2  0 Feb23 ?        00:00:00 [bioset]
root        98     2  0 Feb23 ?        00:00:00 [bioset]
root        99     2  0 Feb23 ?        00:00:00 [bioset]
root       100     2  0 Feb23 ?        00:00:00 [bioset]
root       101     2  0 Feb23 ?        00:00:00 [bioset]
root       102     2  0 Feb23 ?        00:00:00 [bioset]
root       104     2  0 Feb23 ?        00:00:00 [bioset]
root       105     2  0 Feb23 ?        00:00:00 [bioset]
root       106     2  0 Feb23 ?        00:00:00 [bioset]
root       107     2  0 Feb23 ?        00:00:00 [bioset]
root       108     2  0 Feb23 ?        00:00:00 [bioset]
root       109     2  0 Feb23 ?        00:00:00 [bioset]
root       110     2  0 Feb23 ?        00:00:00 [bioset]
root       111     2  0 Feb23 ?        00:00:00 [bioset]
root       112     2  0 Feb23 ?        00:00:00 [bioset]
root       113     2  0 Feb23 ?        00:00:00 [bioset]
root       114     2  0 Feb23 ?        00:00:00 [bioset]
root       115     2  0 Feb23 ?        00:00:00 [bioset]
root       116     2  0 Feb23 ?        00:00:00 [bioset]
root       117     2  0 Feb23 ?        00:00:00 [bioset]
root       118     2  0 Feb23 ?        00:00:00 [bioset]
root       119     2  0 Feb23 ?        00:00:00 [bioset]
root       120     2  0 Feb23 ?        00:00:00 [bioset]
root       124     2  0 Feb23 ?        00:00:00 [ipv6_addrconf]
root       146     2  0 Feb23 ?        00:00:00 [deferwq]
root       147     2  0 Feb23 ?        00:00:00 [charger_manager]
root       190     2  0 Feb23 ?        00:00:00 [kpsmoused]
root       192     2  0 Feb23 ?        00:00:00 [scsi_eh_0]
root       193     2  0 Feb23 ?        00:00:00 [scsi_tmf_0]
root       194     2  0 Feb23 ?        00:00:00 [scsi_eh_1]
root       195     2  0 Feb23 ?        00:00:00 [scsi_tmf_1]
root       196     2  0 Feb23 ?        00:00:00 [scsi_eh_2]
root       197     2  0 Feb23 ?        00:00:00 [scsi_tmf_2]
root       198     2  0 Feb23 ?        00:00:00 [scsi_eh_3]
root       199     2  0 Feb23 ?        00:00:00 [scsi_tmf_3]
root       200     2  0 Feb23 ?        00:00:00 [scsi_eh_4]
root       201     2  0 Feb23 ?        00:00:00 [scsi_tmf_4]
root       202     2  0 Feb23 ?        00:00:00 [scsi_eh_5]
root       203     2  0 Feb23 ?        00:00:00 [scsi_tmf_5]
root       209     2  0 Feb23 ?        00:00:00 [i915/signal:0]
